    PID CLS PRI TTY          TIME CMD
   2473 TS   19 ?        00:00:00 chrome_crashpad
   2479 TS   19 ?        00:00:00 chrome
   2480 TS   19 ?        00:00:00 chrome
   2481 TS   19 ?        00:00:00 nacl_helper
   2484 TS   19 ?        00:00:00 chrome
   2497 TS   19 ?        00:00:00 xdg-desktop-por
   2502 TS   19 ?        00:00:00 xdg-desktop-por
   2520 TS   19 ?        00:00:01 fwupd
   2540 TS   19 ?        00:01:05 chrome
   2542 TS   19 ?        00:00:06 chrome
   2549 TS   19 ?        00:00:00 chrome
   2550 TS   19 ?        00:00:00 chrome
   2587 TS   19 ?        00:00:05 chrome
   2656 TS   19 ?        00:00:00 chrome
   2691 TS   19 ?        00:00:01 chrome
   2706 TS   19 ?        00:00:06 chrome
   2755 TS   19 ?        00:00:00 chrome
   2831 TS   19 ?        00:00:00 chrome
   3738 TS   19 ?        00:00:22 chrome
   3793 TS   19 ?        00:01:32 spotify
   4013 TS   19 ?        00:00:00 spotify
   4015 TS   19 ?        00:00:00 spotify
   4056 TS   19 ?        00:00:46 spotify
   4073 TS   19 ?        00:00:00 spotify
   4078 TS   19 ?        00:00:01 spotify
   4119 TS   19 ?        00:02:58 spotify
   4136 TS   19 ?        00:00:00 update-notifier
   4141 TS   19 ?        00:00:00 gvfsd-metadata
   5654 TS   19 ?        00:00:13 chrome
   5669 TS   19 ?        00:00:21 chrome
   5683 TS   19 ?        00:01:58 chrome
   6151 TS   19 ?        00:00:01 kworker/1:0-events
   6467 TS   39 ?        00:00:00 loop33
   6529 TS   39 ?        00:00:00 loop34
   6614 TS    9 ?        00:00:03 update-manager
   6655 TS   19 ?        00:00:00 kworker/6:0-events
   6724 TS   19 ?        00:00:01 kworker/2:0-events
   6733 TS   19 ?        00:00:00 kworker/5:0-events
   6928 TS   19 ?        00:00:00 kworker/3:0-events
   7107 TS   39 ?        00:00:00 loop10
   7225 TS   19 ?        00:00:00 gvfsd-metadata
   7246 TS   19 ?        00:00:00 kworker/10:2-events
   7260 TS   19 ?        00:00:00 kworker/4:0-events
   7362 TS   19 ?        00:00:07 nautilus
   8930 TS   19 ?        00:00:00 kworker/0:0-events
  21661 TS   19 ?        00:00:02 chrome
  23344 TS   39 ?        00:00:00 xfsalloc
  23345 TS   39 ?        00:00:00 xfs_mru_cache
  23348 TS   19 ?        00:00:00 jfsIO
  23349 TS   19 ?        00:00:00 jfsCommit
  23350 TS   19 ?        00:00:00 jfsCommit
  23351 TS   19 ?        00:00:00 jfsCommit
  23352 TS   19 ?        00:00:00 jfsCommit
  23353 TS   19 ?        00:00:00 jfsCommit
  23354 TS   19 ?        00:00:00 jfsCommit
  23355 TS   19 ?        00:00:00 jfsCommit
  23356 TS   19 ?        00:00:00 jfsCommit
  23357 TS   19 ?        00:00:00 jfsCommit
  23358 TS   19 ?        00:00:00 jfsCommit
  23359 TS   19 ?        00:00:00 jfsCommit
  23360 TS   19 ?        00:00:00 jfsCommit
  23361 TS   19 ?        00:00:00 jfsSync
  23379 TS   19 ?        00:00:00 kworker/7:0-events
  25247 TS   19 ?        00:00:01 kworker/11:0-events
  28713 TS   19 ?        00:00:01 kworker/8:0-events
  28926 TS   19 ?        00:00:00 clion.sh
  29027 TS   19 ?        00:00:01 snapd
  29315 TS   19 ?        00:17:05 java
  31033 TS   19 ?        00:00:00 kworker/9:2-events
  33865 TS   19 ?        00:00:00 kworker/u24:1-ext4-rsv-conversion
  33874 TS   19 ?        00:00:01 chrome
  33919 TS   19 ?        00:00:00 chrome
  34108 TS   19 ?        00:00:00 kworker/11:1-events
  34135 TS   19 ?        00:00:00 fsnotifier
  34153 TS   19 ?        00:00:00 kworker/u24:3
  34157 TS   19 ?        00:00:00 ion.clangd.main
  34274 TS   19 ?        00:00:00 son
  34275 TS   19 ?        00:00:00 sh
  34276 TS   19 ?        00:00:00 ps
